"","mu_ 0","mu_ 1","mu_ 2","mu_ 3","mu_ 4","mu_ 5","mu_ 6","mu_ 7","sig_ 0","sig_ 1","sig_ 2","sig_ 3","sig_ 4","sig_ 5","sig_ 6","sig_ 7","nlml","id"
"9767",45.744,36.19,26.756,25.08,25.001,25,25,25,0.2269,17.469,20.671,20.746,20.746,20.746,20.746,20.746,4.6401,38
"9768",45.759,36.198,26.757,25.08,25.001,25,25,25,0.20904,17.481,20.686,20.76,20.76,20.76,20.76,20.76,4.1465,38
"9769",45.791,36.215,26.76,25.08,25.001,25,25,25,0.21469,17.508,20.718,20.792,20.792,20.792,20.792,20.792,4.2436,38
"9770",45.797,36.218,26.761,25.08,25.001,25,25,25,0.20047,17.513,20.723,20.798,20.798,20.798,20.798,20.798,3.6257,38
"9771",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,38
"9772",43.979,35.238,26.607,25.073,25.001,25,25,25,0.14239,15.982,18.912,18.98,18.98,18.98,18.98,18.98,4.3623,38
"9773",43.981,35.239,26.607,25.073,25.001,25,25,25,0.0023829,15.983,18.913,18.981,18.981,18.981,18.981,18.981,-0.11426,38
"9774",44.195,35.354,26.625,25.074,25.001,25,25,25,0.43301,16.169,19.131,19.2,19.2,19.2,19.2,19.2,5.7993,38
"9775",44.062,35.282,26.614,25.074,25.001,25,25,25,0.45471,16.057,18.999,19.067,19.067,19.067,19.067,19.067,6.6177,38
"9776",44.133,35.321,26.62,25.074,25.001,25,25,25,0.42334,16.117,19.069,19.138,19.138,19.138,19.138,19.138,7.048,38
"9777",44.127,35.317,26.619,25.074,25.001,25,25,25,0.37383,16.11,19.062,19.13,19.13,19.13,19.13,19.13,7.0556,38
"9778",44.168,35.339,26.623,25.074,25.001,25,25,25,0.35697,16.144,19.102,19.171,19.171,19.171,19.171,19.171,7.2777,38
"9779",44.227,35.371,26.628,25.074,25.001,25,25,25,0.37329,16.195,19.162,19.231,19.231,19.231,19.231,19.231,8.0375,38
"9780",44.199,35.356,26.625,25.074,25.001,25,25,25,0.35848,16.17,19.133,19.202,19.202,19.202,19.202,19.202,8.1955,38
"9781",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,38
"9782",10.7,17.286,23.789,24.945,24.999,25,25,25,0.13601,12.042,14.249,14.301,14.301,14.301,14.301,14.301,4.0793,38
"9783",10.7,17.287,23.789,24.945,25.03,25.681,29.342,33.05,0.13601,9.7717,11.563,11.604,11.604,11.563,9.7717,0.13601,7.7406,38
"9784",10.7,25.028,44.398,25.108,25,25,25.045,33.05,0.13601,14.67,0.13601,14.67,14.67,14.67,14.67,0.13601,12.314,38
"9785",10.706,25.027,44.171,25.107,25,25,25.045,33.047,0.44576,14.573,0.38607,14.573,14.573,14.573,14.573,0.44576,12.905,38
"9786",10.703,25.027,44.15,25.107,25,25,25.045,33.049,0.32091,14.562,0.26204,14.562,14.562,14.562,14.562,0.32091,12.713,38
