"","mu_ 0","mu_ 1","mu_ 2","mu_ 3","mu_ 4","mu_ 5","mu_ 6","mu_ 7","sig_ 0","sig_ 1","sig_ 2","sig_ 3","sig_ 4","sig_ 5","sig_ 6","sig_ 7","nlml","id"
"8886",24.826,24.653,24.479,24.305,24.131,23.958,23.784,23.61,20.848,20.91,21.013,21.157,21.34,21.562,21.821,22.116,22.296,35
"8887",24.868,24.736,24.604,24.472,24.34,24.208,24.076,23.944,20.873,20.935,21.038,21.181,21.364,21.585,21.843,22.138,26.752,35
"8888",24.91,24.821,24.731,24.641,24.551,24.462,24.372,24.282,20.926,20.988,21.09,21.233,21.415,21.635,21.893,22.186,31.222,35
"8889",24.951,24.902,24.854,24.805,24.756,24.707,24.658,24.609,20.921,20.982,21.084,21.227,21.408,21.628,21.885,22.178,35.676,35
"8890",24.992,24.983,24.975,24.966,24.958,24.949,24.941,24.933,20.886,20.947,21.049,21.191,21.373,21.593,21.849,22.142,40.119,35
"8891",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,35
"8892",25.096,25.191,25.287,25.383,25.478,25.574,25.669,25.765,10.455,10.596,10.828,11.143,11.537,12,12.525,13.105,3.7661,35
"8893",25.09,25.18,25.27,25.361,25.451,25.541,25.631,25.721,8.4445,8.5366,8.688,8.8955,9.1554,9.4634,9.815,10.206,7.188,35
"8894",25.285,25.57,25.855,26.139,26.424,26.709,26.994,27.279,13.958,14.035,14.164,14.342,14.567,14.838,15.152,15.506,12.223,35
"8895",25.427,25.855,26.282,26.709,27.136,27.564,27.991,28.418,15.754,15.825,15.943,16.106,16.314,16.565,16.856,17.186,16.808,35
"8896",25.567,26.134,26.701,27.269,27.836,28.403,28.97,29.537,16.389,16.457,16.57,16.726,16.925,17.165,17.445,17.762,21.251,35
"8897",25.706,26.413,27.119,27.826,28.532,29.238,29.945,30.651,16.686,16.751,16.86,17.012,17.205,17.438,17.709,18.017,25.664,35
"8898",25.847,26.694,27.541,28.387,29.234,30.081,30.928,31.775,16.789,16.854,16.96,17.108,17.296,17.523,17.787,18.088,30.052,35
"8899",25.99,26.98,27.97,28.96,29.95,30.94,31.93,32.921,16.746,16.809,16.913,17.058,17.242,17.464,17.723,18.018,34.405,35
"8900",26.136,27.272,28.408,29.544,30.679,31.815,32.951,34.087,16.619,16.68,16.782,16.924,17.104,17.323,17.577,17.866,38.731,35
"8901",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,35
"8902",24.652,24.303,23.955,23.606,23.258,22.909,22.561,22.212,8.1244,8.285,8.546,8.8986,9.3323,9.8365,10.401,11.016,3.5718,35
"8903",25.465,25.929,26.394,26.859,27.324,27.788,28.253,28.718,12.719,12.8,12.934,13.119,13.353,13.633,13.958,14.323,8.0588,35
"8904",25.933,26.866,27.8,28.733,29.666,30.599,31.532,32.466,11.07,11.133,11.239,11.384,11.569,11.791,12.048,12.338,12.011,35
"8905",26.322,27.644,28.966,30.288,31.61,32.932,34.255,35.577,9.0593,9.1071,9.1861,9.2957,9.4347,9.6018,9.7956,10.015,15.623,35
"8906",26.564,28.128,29.692,31.256,32.819,34.383,35.947,37.511,7.6569,7.6922,7.7507,7.8319,7.935,8.0593,8.2038,8.3673,18.934,35
"8907",26.708,28.416,30.124,31.832,33.54,35.247,36.955,38.663,6.7514,6.7783,6.823,6.885,6.9639,7.0591,7.17,7.2959,22.038,35
"8908",26.801,28.601,30.402,32.202,34.003,35.803,37.604,39.404,6.1222,6.1434,6.1787,6.2277,6.2901,6.3657,6.4538,6.554,24.994,35
"8909",26.851,28.702,30.553,32.404,34.255,36.106,37.958,39.809,5.6335,5.6508,5.6794,5.7192,5.77,5.8314,5.9032,5.985,27.787,35
"8910",26.889,28.778,30.667,32.556,34.444,36.333,38.222,40.111,5.2533,5.2676,5.2914,5.3245,5.3668,5.418,5.4779,5.5463,30.497,35
"8911",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,35
"8912",25.525,26.049,26.574,27.098,27.623,28.147,28.672,29.196,0.00011383,0.00011642,0.00012063,0.00012628,0.0001332,0.00014119,0.00015008,0.00015974,3.1359,35
"8913",26.143,27.286,28.429,29.572,30.715,31.858,33.001,34.144,0.00011527,0.00011775,0.00012177,0.00012719,0.00013383,0.00014152,0.0001501,0.00015944,1.589e+10,35
"8914",26.692,28.385,30.077,31.769,33.462,35.154,36.846,38.538,0.00011523,0.00011757,0.00012138,0.00012651,0.00013282,0.00014015,0.00014835,0.00015727,2.9993e+10,35
"8915",27.186,29.372,31.557,33.743,35.929,38.115,40.301,42.487,0.00011518,0.00011741,0.00012102,0.0001259,0.00013192,0.00013892,0.00014676,0.00015531,4.2715e+10,35
"8916",27.627,30.254,32.881,35.508,38.135,40.762,43.389,46.016,0.00011515,0.00011726,0.0001207,0.00012536,0.0001311,0.0001378,0.00014531,0.00015353,5.4013e+10,35
"8917",28.027,31.053,34.08,37.107,40.134,43.16,46.187,49.214,0.00011511,0.00011713,0.00012041,0.00012486,0.00013036,0.00013677,0.00014399,0.0001519,6.4259e+10,35
"8918",28.38,31.76,35.14,38.52,41.9,45.28,48.66,52.04,0.00011508,0.00011701,0.00012014,0.0001244,0.00012967,0.00013584,0.00014278,0.0001504,7.3063e+10,35
"8919",28.71,32.42,36.129,39.839,43.549,47.259,50.969,54.679,0.00011505,0.0001169,0.0001199,0.00012399,0.00012905,0.00013498,0.00014167,0.00014901,8.1473e+10,35
"8920",28.682,32.364,36.045,39.727,43.409,47.091,50.773,54.455,0.000115,0.00011668,0.00011942,0.00012316,0.00012781,0.00013328,0.00013946,0.00014626,8.1504e+10,35
"8921",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,35
"8922",25.124,25.247,25.371,25.495,25.618,25.742,25.866,25.989,16.08,16.171,16.323,16.533,16.798,17.118,17.488,17.905,4.2023,35
"8923",25.252,25.504,25.755,26.007,26.259,26.511,26.763,27.014,15.792,15.884,16.035,16.245,16.512,16.831,17.201,17.619,8.3849,35
