,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,std_0,std_1,std_2,std_3,std_4,std_5,std_6,std_7,nmll,round,trial,id
17163,24.668,24.335,24.003,23.671,23.339,23.006,22.674,22.342,9.1941,9.3189,9.5232,9.8022,10.15,10.559,11.023,11.535,7.3367,7,3,58
17164,24.792,24.584,24.376,24.168,23.96,23.752,23.544,23.335,8.378,8.4973,8.6927,8.959,9.2902,9.6796,10.121,10.607,10.676,7,4,58
17165,24.909,24.817,24.726,24.634,24.543,24.452,24.36,24.269,7.6759,7.7876,7.9703,8.2192,8.5286,8.8921,9.3034,9.7565,13.877,7,5,58
17166,25.036,25.071,25.107,25.142,25.178,25.214,25.249,25.285,7.1623,7.265,7.4331,7.6623,7.9472,8.2822,8.6613,9.0792,17.015,7,6,58
17167,25.164,25.329,25.493,25.658,25.822,25.986,26.151,26.315,6.7595,6.8534,7.0071,7.2167,7.4776,7.7846,8.1325,8.5163,20.104,7,7,58
17168,25.27,25.541,25.811,26.081,26.352,26.622,26.892,27.162,6.3652,6.4505,6.5903,6.7811,7.0188,7.2989,7.6166,7.9674,23.08,7,8,58
17169,25.377,25.753,26.13,26.507,26.883,27.26,27.636,28.013,6.0535,6.1311,6.2582,6.432,6.6487,6.9044,7.1948,7.516,26.028,7,9,58
17170,25.469,25.938,26.406,26.875,27.344,27.813,28.282,28.751,5.7688,5.8393,5.9549,6.1131,6.3107,6.5441,6.8096,7.1037,28.901,7,10,58
17171,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,8,1,58
17172,25.069,25.138,25.206,25.275,25.344,25.413,25.482,25.55,14.534,14.637,14.806,15.039,15.334,15.687,16.094,16.551,4.0955,8,2,58
17173,25.104,25.208,25.312,25.415,25.519,25.623,25.727,25.831,10.495,10.625,10.839,11.131,11.495,11.925,12.415,12.956,7.5386,8,3,58
17174,25.1,25.2,25.301,25.401,25.501,25.601,25.702,25.802,8.7288,8.865,9.0875,9.3901,9.7653,10.205,10.702,11.248,10.758,8,4,58
17175,25.096,25.191,25.287,25.383,25.478,25.574,25.67,25.765,7.634,7.7651,7.9788,8.2688,8.6272,9.046,9.5173,10.034,13.822,8,5,58
17176,25.219,25.438,25.656,25.875,26.094,26.313,26.532,26.751,7.1117,7.2392,7.4467,7.7279,8.0751,8.4801,8.9352,9.433,16.949,8,6,58
17177,24.637,24.274,23.912,23.549,23.186,22.823,22.46,22.098,9.2962,9.3991,9.5681,9.7998,10.09,10.434,10.826,11.261,21.978,8,7,58
17178,24.296,23.593,22.889,22.185,21.482,20.778,20.075,19.371,10.044,10.134,10.284,10.49,10.748,11.056,11.409,11.804,26.36,8,8,58
17179,24.267,23.533,22.8,22.067,21.334,20.6,19.867,19.134,9.3877,9.4744,9.6172,9.8137,10.061,10.355,10.691,11.067,29.587,8,9,58
17180,23.986,22.972,21.958,20.944,19.93,18.916,17.902,16.888,9.6445,9.7234,9.8536,10.033,10.259,10.529,10.839,11.186,33.749,8,10,58
17181,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,9,1,58
17182,24.427,23.854,23.282,22.709,22.136,21.563,20.991,20.418,0.000041876,0.000044226,0.000047888,0.000052587,0.000058073,0.000064144,0.00007065,0.000077481,2.6924,9,2,58
17183,23.806,22.612,21.419,20.225,19.031,17.837,16.643,15.45,0.000041845,0.000044108,0.000047642,0.000052189,0.00005751,0.000063409,0.000069741,0.000076397,74338000000,9,3,58
17184,23.215,21.43,19.646,17.861,16.076,14.291,12.506,10.722,0.000041816,0.000043999,0.000047415,0.00005182,0.000056985,0.000062724,0.000068892,0.000075385,147050000000,9,4,58
17185,23.948,22.895,21.843,20.791,19.739,18.686,17.634,16.582,0.000041719,0.000043631,0.000046644,0.000050561,0.000055189,0.000060367,0.000065964,0.000071883,180340000000,9,5,58
17186,24.473,23.945,23.418,22.891,22.364,21.836,21.309,20.782,0.000041645,0.000043345,0.00004604,0.000049567,0.000053763,0.000058484,0.000063614,0.00006906,202510000000,9,6,58
17187,24.929,24.859,24.788,24.718,24.647,24.577,24.506,24.436,0.000041585,0.000043117,0.000045555,0.000048763,0.000052602,0.000056943,0.000061681,0.000066731,223620000000,9,7,58
17188,25.1,25.201,25.301,25.402,25.502,25.603,25.703,25.804,0.000041488,0.000042739,0.000044747,0.000047415,0.000050639,0.00005432,0.000058372,0.000062724,225430000000,9,8,58
17189,24.317,23.634,22.952,22.269,21.586,20.903,20.22,19.538,0.000041382,0.000042326,0.000043855,0.000045909,0.000048423,0.000051328,0.000054562,0.000058071,260360000000,9,9,58
17190,24.393,23.786,23.179,22.572,21.964,21.357,20.75,20.143,0.000041292,0.000041975,0.000043089,0.000044601,0.000046473,0.000048664,0.000051131,0.000053839,260750000000,9,10,58
17191,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,10,1,58
17192,25.551,26.102,26.653,27.204,27.755,28.306,28.857,29.408,9.1248,9.2385,9.4251,9.6802,9.9987,10.375,10.802,11.275,3.8067,10,2,58
17193,24.971,24.941,24.912,24.882,24.853,24.823,24.794,24.764,13.728,13.81,13.946,14.134,14.372,14.658,14.989,15.362,8.0912,10,3,58
17194,25.079,25.158,25.237,25.315,25.394,25.473,25.552,25.631,11.771,11.853,11.987,12.173,12.408,12.689,13.014,13.379,11.693,10,4,58
17195,25.201,25.403,25.604,25.806,26.007,26.209,26.41,26.612,10.515,10.592,10.719,10.895,11.116,11.381,11.687,12.029,15.175,10,5,58
17196,25.175,25.35,25.525,25.7,25.875,26.05,26.225,26.4,9.5814,9.657,9.7817,9.9537,10.171,10.43,10.727,11.061,18.5,10,6,58
17197,25.13,25.26,25.391,25.521,25.651,25.781,25.912,26.042,8.9724,9.046,9.1674,9.3347,9.5454,9.7969,10.086,10.41,21.8,10,7,58
17198,25.093,25.186,25.279,25.373,25.466,25.559,25.652,25.745,8.4184,8.4897,8.6071,8.7689,8.9726,9.2155,9.4945,9.8066,24.987,10,8,58
17199,25.049,25.098,25.148,25.197,25.246,25.295,25.345,25.394,7.9934,8.0622,8.1755,8.3317,8.5282,8.7625,9.0315,9.3323,28.142,10,9,58
17200,25.008,25.017,25.025,25.034,25.042,25.051,25.059,25.067,7.618,7.6843,7.7934,7.9438,8.133,8.3585,8.6173,8.9066,31.23,10,10,58
17201,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,11,1,58
17202,25.053,25.106,25.159,25.212,25.265,25.318,25.371,25.424,18.882,18.961,19.092,19.274,19.505,19.784,20.109,20.478,4.3571,11,2,58
17203,25.107,25.215,25.322,25.429,25.536,25.644,25.751,25.858,18.641,18.721,18.853,19.037,19.271,19.552,19.88,20.252,8.6915,11,3,58
17204,25.162,25.324,25.486,25.648,25.81,25.972,26.134,26.296,18.522,18.602,18.735,18.919,19.154,19.436,19.765,20.138,13.023,11,4,58
17205,25.217,25.434,25.651,25.868,26.085,26.302,26.519,26.736,18.429,18.509,18.642,18.826,19.061,19.344,19.674,20.047,17.349,11,5,58
17206,25.273,25.546,25.819,26.092,26.365,26.639,26.912,27.185,16.527,16.611,16.751,16.944,17.19,17.485,17.828,18.216,21.15,11,6,58
17207,25.328,25.655,25.983,26.31,26.638,26.965,27.293,27.621,16.684,16.767,16.905,17.097,17.34,17.632,17.971,18.355,25.445,11,7,58
17208,25.382,25.764,26.146,26.528,26.91,27.292,27.674,28.056,16.799,16.882,17.019,17.208,17.449,17.739,18.076,18.457,29.745,11,8,58
17209,25.435,25.871,26.306,26.741,27.177,27.612,28.047,28.483,16.925,17.007,17.143,17.331,17.569,17.857,18.19,18.568,34.065,11,9,58
17210,25.487,25.975,26.462,26.949,27.437,27.924,28.411,28.899,17.076,17.157,17.291,17.477,17.714,17.998,18.329,18.703,38.416,11,10,58
17211,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,12,1,58
