,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,std_0,std_1,std_2,std_3,std_4,std_5,std_6,std_7,nmll,round,trial,id
5068,47.708,37.249,26.922,25.088,25.001,25,25,25,0.3309,19.124,22.629,22.71,22.71,22.71,22.71,22.71,6.992,27,8,17
5069,47.702,37.246,26.922,25.088,25.001,25,25,25,0.30447,19.119,22.623,22.704,22.704,22.704,22.704,22.704,6.7773,27,9,17
5070,47.712,37.251,26.923,25.088,25.001,25,25,25,0.28488,19.127,22.633,22.714,22.714,22.714,22.714,22.714,6.5252,27,10,17
5071,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,28,1,17
5072,17.654,21.038,24.378,24.972,25,25,25,25,0.14218,6.1871,7.3208,7.3471,7.3471,7.3471,7.3471,7.3471,3.4133,28,2,17
5073,17.655,21.038,24.378,24.972,25.009,25.201,26.28,27.373,0.14216,4.598,5.4401,5.4597,5.4597,5.4401,4.598,0.14216,6.2327,28,3,17
5074,17.657,22.088,25.243,25.192,25.038,25.29,26.403,27.373,0.14213,0.14213,3.4583,4.5253,4.5733,4.5395,3.69,0.14214,8.6031,28,4,17
5075,17.654,22.089,25,25,25,25,8.0717,27.374,0.1423,0.1423,9.4171,9.4171,9.4171,9.4171,0.1423,0.1423,14.646,28,5,17
5076,17.654,22.089,11.787,25,25,25,8.0714,27.374,0.1423,0.1423,0.1423,10.289,10.289,10.289,0.1423,0.1423,18.75,28,6,17
5077,17.654,22.089,11.787,25,25,32.882,8.0715,27.374,0.1423,0.1423,0.1423,9.9287,9.9287,0.1423,0.1423,0.1423,22.286,28,7,17
5078,17.654,22.089,11.787,37.209,25,32.882,8.0714,27.374,0.1423,0.1423,0.1423,0.1423,10.286,0.1423,0.1423,0.1423,26.248,28,8,17
5079,17.653,22.089,11.787,37.21,41.601,32.882,8.0711,27.374,0.1423,0.1423,0.1423,0.1423,0.1423,0.1423,0.1423,0.1423,30.729,28,9,17
5080,17.661,22.092,11.8,37.197,41.857,32.874,8.0882,27.371,0.52786,0.52786,0.52786,0.52786,0.45722,0.52786,0.52786,0.52786,31.545,28,10,17
5081,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,29,1,17
5082,19.182,21.862,24.507,24.978,25,25,25,25,0.14183,4.901,5.7987,5.8195,5.8196,5.8196,5.8196,5.8196,3.1802,29,2,17
5083,19.181,21.861,24.507,24.979,25.075,26.647,35.494,44.454,0.14179,12.091,14.308,14.359,14.359,14.308,12.091,0.14179,8.1667,29,3,17
5084,19.181,21.861,24.507,24.978,25.075,26.643,35.466,44.403,0.10331,12.062,14.273,14.324,14.324,14.273,12.062,0.089474,7.3108,29,4,17
5085,19.18,21.861,24.507,24.978,25.075,26.642,35.464,44.398,0.074173,12.059,14.269,14.321,14.321,14.269,12.059,0.060562,5.6526,29,5,17
5086,19.181,21.861,24.507,24.978,25.074,26.635,35.418,44.315,0.24203,12.013,14.214,14.265,14.265,14.214,12.013,0.19135,7.8078,29,6,17
