mu0,mu1,mu2,mu3,mu4,mu5,mu6,mu7,sigma0,sigma1,sigma2,sigma3,sigma4,sigma5,sigma6,sigma7,nlml,id
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
24.519,21.935,19.318,21.935,24.519,24.978,25,25,5.6633,4.7866,0.14185,4.7866,5.6633,5.6837,5.6837,5.6837,3.1565,1
13.801,13.88,19.315,24.67,26.321,25.806,25.237,25.041,3.9044,0.14185,0.14185,3.9044,7.3828,8.6305,8.8201,8.8319,6.66,1
8.6948,13.878,19.316,24.868,30.384,35.72,40.738,45.314,0.069435,0.000062441,0.000062443,0.000062441,0.069435,0.27316,0.66723,1.2953,8.0965,1
8.8816,13.878,19.316,24.868,30.195,34.985,38.981,42.002,0.031684,0.000062441,0.000062442,0.000062441,0.000062443,0.031684,0.15185,0.43064,7.0354,1
9.2232,13.877,19.316,24.868,30.195,35.347,40.582,46.071,0.13123,0.000062442,0.000062442,0.000062443,0.000062442,0.04444,0.1026,0.000062443,12.374,1
9.2084,13.878,19.316,24.868,30.195,35.328,40.497,45.849,0.13123,0.000062443,0.000062444,0.000062442,0.000062442,0.04444,0.1026,0.000054075,25479000,1
9.2128,13.878,19.316,24.868,30.196,35.335,40.527,45.926,0.13123,0.000062442,0.000062444,0.000062442,0.000062442,0.04444,0.1026,0.000050983,34749000,1
9.2073,13.878,19.316,24.868,30.196,35.329,40.495,45.839,0.13123,0.000062441,0.000062442,0.000062443,0.00006244,0.04444,0.1026,0.000049365,58161000,1
9.2085,13.877,19.316,24.868,30.196,35.33,40.502,45.86,0.13123,0.000062442,0.000062442,0.000062444,0.000062442,0.04444,0.1026,0.000048368,60526000,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25,25.001,25.028,25.175,25.325,25.175,25.028,25.001,0.35324,0.35323,0.35216,0.30661,0.13799,0.30661,0.35216,0.35323,0.37832,1
25,25.001,25.709,30.506,25.354,24.956,25,25,3.9055,3.9055,3.873,0.1783,0.1783,3.873,3.9055,3.9055,5.5544,1
44.826,42.008,36.685,30.512,25.353,22.38,21.659,22.41,2.9197,0.87169,0.0072511,0.0072511,0.0072511,0.87169,2.9197,5.7432,8.7765,1
48.372,42.965,36.685,30.512,25.353,21.828,20.147,20.118,0.00084761,0.03894,0.00084761,0.0008476,0.00084761,0.17603,0.75844,1.9241,10.186,1
48.042,42.581,36.6,30.661,25.293,20.912,17.769,15.93,0.43214,0.46366,0.45871,0.42678,0.48738,0.99709,2.1357,3.8581,11.99,1
48.109,42.654,36.614,30.632,25.305,21.086,18.225,16.748,0.34499,0.40564,0.39081,0.36491,0.41333,0.92978,2.1266,3.9337,12.103,1
48.095,42.688,36.624,30.612,25.313,21.218,18.576,17.379,0.28874,0.36564,0.34012,0.31922,0.35794,0.88317,2.1164,3.9676,11.9,1
48.05,42.685,36.626,30.608,25.315,21.256,18.683,17.574,0.27165,0.35596,0.32733,0.30782,0.34388,0.87374,2.1189,3.9827,11.877,1
48.029,42.697,36.631,30.599,25.319,21.316,18.842,17.858,0.24872,0.33886,0.30515,0.28794,0.31966,0.85142,2.102,3.9698,11.564,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
18.537,13.018,18.537,23.986,24.954,24.999,25,25,10.09,0.14224,10.09,11.94,11.983,11.983,11.983,11.983,3.9024,1
21.441,13.018,21.441,24.907,25.084,28.212,35.812,28.212,10.898,0.14224,10.898,11.412,11.412,10.898,0.14224,10.898,7.7073,1
9.592,13.017,17.045,21.528,26.285,31.117,35.813,40.172,0.37757,0.0054398,0.13344,0.10144,0.0054398,0.067212,0.0054398,0.28684,10.317,1
9.8053,13.102,17.062,21.524,26.289,31.129,35.809,40.104,0.47342,0.14655,0.21434,0.20638,0.16898,0.16951,0.16913,0.41551,9.964,1
9.3845,13.099,17.211,21.638,26.283,31.044,35.811,40.473,0.22436,0.10963,0.11204,0.11935,0.1212,0.1191,0.1274,0.24738,9.0003,1
9.6273,13.111,17.159,21.629,26.347,31.119,35.744,40.028,0.27721,0.12877,0.13403,0.14038,0.13718,0.14056,0.13489,0.14592,9.4501,1
9.48,13.101,17.198,21.649,26.312,31.033,35.653,40.016,0.29691,0.15308,0.15554,0.16452,0.16025,0.15579,0.14734,0.17075,9.3501,1
