mu0,mu1,mu2,mu3,mu4,mu5,mu6,mu7,sigma0,sigma1,sigma2,sigma3,sigma4,sigma5,sigma6,sigma7,nlml,id
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
24.472,23.944,23.417,22.889,22.361,21.833,21.305,20.777,4.9016,5.1177,5.4587,5.9032,6.4296,7.0196,7.6586,8.3351,3.1565,1
24.498,23.997,23.495,22.994,22.492,21.991,21.489,20.988,8.1358,8.2881,8.536,8.8714,9.2849,9.7665,10.307,10.897,7.1512,1
24.474,23.948,23.421,22.895,22.369,21.843,21.316,20.79,6.8772,7.0104,7.2271,7.5198,7.8803,8.2996,8.7694,9.2819,10.21,1
24.869,24.738,24.607,24.476,24.345,24.214,24.083,23.952,7.223,7.3238,7.4889,7.7141,7.9943,8.3239,8.6974,9.1094,13.677,1
25.694,26.388,27.082,27.776,28.47,29.164,29.858,30.552,10.266,10.335,10.448,10.605,10.802,11.04,11.313,11.621,19.081,1
26.112,27.224,28.336,29.448,30.56,31.672,32.784,33.896,10.291,10.344,10.433,10.555,10.71,10.897,11.114,11.359,23.294,1
26.427,27.855,29.282,30.71,32.137,33.565,34.992,36.419,9.8193,9.8622,9.9331,10.032,10.157,10.308,10.484,10.683,27.207,1
26.656,28.313,29.969,31.626,33.282,34.938,36.595,38.251,9.189,9.2238,9.2816,9.3618,9.4639,9.5873,9.731,9.8943,30.836,1
26.83,28.659,30.489,32.318,34.148,35.977,37.807,39.637,8.6408,8.6696,8.7173,8.7838,8.8685,8.9709,9.0905,9.2265,34.323,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.071,25.141,25.212,25.283,25.353,25.424,25.495,25.565,0.000031465,0.000033231,0.000035983,0.000039514,0.000043636,0.000048198,0.000053087,0.000058219,2.5309,1
25.581,26.162,26.742,27.323,27.904,28.485,29.066,29.647,0.000031228,0.000032324,0.000034072,0.000036379,0.000039146,0.000042283,0.000045713,0.000049376,8757600000,1
26.177,27.355,28.532,29.709,30.887,32.064,33.241,34.419,0.000031161,0.000032064,0.000033516,0.000035448,0.000037788,0.000040465,0.000043415,0.000046588,51331000000,1
26.613,28.225,29.838,31.45,33.063,34.675,36.288,37.9,0.000031155,0.000032041,0.000033466,0.000035364,0.000037664,0.000040298,0.000043204,0.000046331,3.05E+11,1
27.018,29.037,31.055,33.074,35.092,37.111,39.129,41.148,0.000031149,0.000032019,0.000033417,0.000035283,0.000037545,0.000040137,0.000043,0.000046083,5.3452E+11,1
27.419,29.838,32.257,34.676,37.094,39.513,41.932,44.351,0.000031144,0.000031997,0.000033371,0.000035204,0.00003743,0.000039982,0.000042803,0.000045842,7.6659E+11,1
27.801,30.602,33.403,36.204,39.005,41.806,44.607,47.408,0.000031138,0.000031976,0.000033326,0.000035129,0.000037319,0.000039832,0.000042612,0.000045609,9.8597E+11,1
28.166,31.331,34.497,37.663,40.829,43.994,47.16,50.326,0.000031133,0.000031956,0.000033283,0.000035056,0.000037211,0.000039687,0.000042427,0.000045384,1.1936E+12,1
28.519,32.037,35.556,39.075,42.593,46.112,49.63,53.149,0.000031128,0.000031937,0.000033241,0.000034985,0.000037107,0.000039547,0.000042248,0.000045165,1.3951E+12,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
24.833,24.666,24.499,24.332,24.165,23.999,23.832,23.665,11.856,11.978,12.179,12.456,12.802,13.213,13.683,14.206,3.9024,1
25.272,25.544,25.816,26.087,26.359,26.631,26.903,27.175,11.747,11.839,11.99,12.199,12.462,12.776,13.138,13.544,7.8207,1
25.344,25.688,26.031,26.375,26.719,27.063,27.407,27.75,9.5749,9.6589,9.7974,9.9881,10.228,10.514,10.842,11.208,11.163,1
25.18,25.36,25.54,25.72,25.9,26.081,26.261,26.441,10.502,10.583,10.717,10.903,11.136,11.416,11.737,12.097,15.153,1
25.058,25.115,25.173,25.231,25.288,25.346,25.404,25.462,10.122,10.2,10.328,10.506,10.73,10.997,11.305,11.65,18.74,1
25.495,25.989,26.484,26.979,27.474,27.968,28.463,28.958,10.507,10.567,10.664,10.8,10.971,11.177,11.416,11.686,22.884,1
25.68,26.36,27.041,27.721,28.401,29.081,29.762,30.442,9.8716,9.9205,10.001,10.114,10.256,10.428,10.627,10.852,26.407,1
25.906,26.812,27.718,28.624,29.53,30.436,31.342,32.248,9.5111,9.5508,9.6164,9.7077,9.8237,9.9637,10.127,10.311,30.086,1
26.078,27.157,28.235,29.314,30.392,31.471,32.549,33.628,9.1122,9.145,9.1995,9.2751,9.3715,9.488,9.6238,9.7782,33.633,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
24.597,24.194,23.791,23.388,22.985,22.582,22.179,21.776,6.8734,7.0538,7.3446,7.7335,8.2064,8.7497,9.3513,10,3.4263,1
24.803,24.606,24.409,24.212,24.015,23.818,23.621,23.424,14.101,14.202,14.368,14.598,14.889,15.237,15.637,16.087,8.1456,1
25.074,25.149,25.223,25.297,25.372,25.446,25.52,25.595,13.296,13.385,13.532,13.736,13.993,14.301,14.657,15.057,12.028,1
25.177,25.353,25.53,25.707,25.884,26.06,26.237,26.414,11.71,11.794,11.933,12.124,12.366,12.655,12.989,13.363,15.562,1
25.565,26.13,26.696,27.261,27.826,28.391,28.957,29.522,11.782,11.85,11.962,12.118,12.315,12.552,12.826,13.135,19.658,1
25.868,26.735,27.603,28.471,29.338,30.206,31.073,31.941,11.242,11.299,11.393,11.524,11.689,11.889,12.12,12.381,23.537,1
26.099,27.198,28.297,29.396,30.495,31.594,32.694,33.793,10.478,10.526,10.605,10.715,10.854,11.023,11.218,11.439,27.186,1
26.292,27.583,28.875,30.167,31.459,32.75,34.042,35.334,9.8147,9.8551,9.922,10.015,10.133,10.276,10.442,10.63,30.743,1
26.441,27.882,29.324,30.765,32.206,33.647,35.089,36.53,9.2196,9.2539,9.3109,9.3901,9.4909,9.6128,9.7548,9.9161,34.172,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.529,26.058,26.586,27.115,27.644,28.173,28.702,29.23,4.8895,5.1057,5.447,5.8918,6.4184,7.0086,7.6476,8.3241,3.1547,1
25.205,25.41,25.615,25.819,26.024,26.229,26.434,26.639,12.49,12.602,12.787,13.042,13.362,13.743,14.181,14.669,7.9036,1
25.25,25.5,25.75,26,26.25,26.501,26.751,27.001,13.812,13.914,14.083,14.316,14.61,14.962,15.367,15.822,12.158,1
25.299,25.599,25.898,26.197,26.497,26.796,27.096,27.395,14.642,14.739,14.899,15.12,15.399,15.733,16.12,16.554,16.448,1
25.358,25.715,26.073,26.43,26.788,27.145,27.503,27.861,14.936,15.031,15.187,15.403,15.677,16.005,16.384,16.811,20.668,1
25.416,25.832,26.248,26.664,27.08,27.496,27.912,28.328,15.147,15.24,15.394,15.607,15.876,16.199,16.573,16.994,24.896,1
25.476,25.952,26.428,26.904,27.38,27.856,28.332,28.808,15.264,15.356,15.508,15.719,15.985,16.305,16.676,17.093,29.111,1
25.537,26.073,26.61,27.146,27.683,28.219,28.756,29.293,15.342,15.433,15.584,15.793,16.058,16.375,16.743,17.157,33.325,1
25.597,26.194,26.791,27.388,27.985,28.582,29.179,29.776,15.407,15.498,15.647,15.855,16.117,16.432,16.797,17.209,37.545,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
24.304,23.608,22.911,22.215,21.519,20.823,20.126,19.43,0.00092444,0.00097632,0.0010571,0.0011609,0.001282,0.001416,0.0015596,0.0017104,2.7707,1
24.188,23.377,22.565,21.754,20.942,20.131,19.319,18.508,12.31,12.386,12.512,12.687,12.908,13.173,13.48,13.826,8.2301,1
23.63,22.259,20.889,19.518,18.148,16.778,15.407,14.037,7.7592,7.8215,7.9244,8.0662,8.2449,8.4582,8.7035,8.9783,11.56,1
24.053,23.105,22.158,21.211,20.264,19.316,18.369,17.422,10.311,10.375,10.481,10.628,10.813,11.035,11.292,11.581,15.579,1
24.297,23.593,22.89,22.187,21.484,20.78,20.077,19.374,12.083,12.147,12.252,12.397,12.582,12.805,13.063,13.354,19.882,1
24.483,23.966,23.449,22.932,22.416,21.899,21.382,20.865,14.388,14.45,14.553,14.696,14.878,15.097,15.352,15.641,24.693,1
24.593,24.186,23.779,23.371,22.964,22.557,22.15,21.743,15.733,15.794,15.895,16.035,16.213,16.428,16.678,16.963,29.341,1
24.671,24.343,24.014,23.686,23.357,23.028,22.7,22.371,16.598,16.658,16.757,16.894,17.07,17.281,17.528,17.809,33.908,1
24.733,24.466,24.199,23.932,23.665,23.398,23.131,22.864,17.147,17.206,17.304,17.44,17.613,17.822,18.066,18.344,38.407,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.192,25.385,25.577,25.77,25.962,26.155,26.347,26.54,15.328,15.422,15.578,15.792,16.064,16.391,16.768,17.194,4.1655,1
25.396,25.792,26.188,26.584,26.98,27.376,27.772,28.168,14.892,14.985,15.139,15.351,15.62,15.942,16.315,16.734,8.3153,1
25.632,26.265,26.897,27.529,28.162,28.794,29.427,30.059,13.967,14.061,14.216,14.43,14.702,15.026,15.402,15.823,12.364,1
25.886,26.773,27.659,28.546,29.432,30.319,31.205,32.092,13.273,13.366,13.521,13.734,14.003,14.325,14.697,15.114,16.41,1
26.186,27.372,28.559,29.745,30.931,32.117,33.303,34.49,12.382,12.475,12.629,12.841,13.109,13.429,13.798,14.211,20.382,1
26.564,28.129,29.693,31.258,32.822,34.387,35.951,37.516,11.241,11.334,11.488,11.699,11.965,12.282,12.647,13.055,24.267,1
27.142,29.283,31.425,33.567,35.708,37.85,39.992,42.133,9.5408,9.633,9.7848,9.9934,10.255,10.567,10.923,11.321,28.051,1
30.206,35.412,40.618,45.824,51.03,56.236,61.442,66.649,0.26473,0.27011,0.27885,0.29064,0.30513,0.32195,0.34077,0.36126,17.191,1
30.205,35.41,40.615,45.821,51.026,56.231,61.436,66.641,0.24799,0.25248,0.2598,0.26971,0.28193,0.29619,0.31221,0.32972,16.811,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.296,25.592,25.888,26.184,26.48,26.776,27.072,27.368,12.943,13.048,13.222,13.461,13.763,14.123,14.537,15,4.0226,1
25.115,25.231,25.346,25.462,25.577,25.692,25.808,25.923,11.375,11.475,11.639,11.865,12.149,12.488,12.876,13.311,7.719,1
25.313,25.626,25.938,26.251,26.564,26.877,27.189,27.502,13.823,13.908,14.05,14.246,14.494,14.791,15.135,15.523,12.191,1
25.354,25.707,26.061,26.415,26.769,27.122,27.476,27.83,12.033,12.124,12.273,12.478,12.738,13.048,13.406,13.807,15.702,1
25.54,26.08,26.62,27.161,27.701,28.241,28.781,29.321,12.921,13.005,13.144,13.335,13.578,13.869,14.204,14.582,20.047,1
25.717,26.433,27.15,27.866,28.583,29.3,30.016,30.733,13.27,13.35,13.482,13.665,13.897,14.174,14.496,14.858,24.298,1
25.89,26.779,27.669,28.559,29.448,30.338,31.228,32.117,13.435,13.512,13.639,13.815,14.037,14.305,14.615,14.965,28.531,1
26.068,27.135,28.203,29.271,30.339,31.406,32.474,33.542,13.301,13.375,13.498,13.669,13.885,14.145,14.446,14.786,32.646,1
26.247,27.493,28.74,29.986,31.233,32.479,33.726,34.972,13.143,13.215,13.334,13.5,13.71,13.962,14.255,14.585,36.758,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.155,25.311,25.466,25.621,25.777,25.932,26.088,26.243,12.755,12.869,13.057,13.316,13.642,14.03,14.475,14.972,3.9741,1
25.486,25.971,26.457,26.942,27.428,27.914,28.399,28.885,9.7348,9.861,10.068,10.351,10.703,11.119,11.591,12.112,7.5072,1
25.755,26.509,27.264,28.019,28.774,29.528,30.283,31.038,7.4727,7.6166,7.8507,8.1671,8.5568,9.0102,9.5183,10.073,10.579,1
26.264,27.527,28.791,30.054,31.318,32.581,33.845,35.108,8.5826,8.6892,8.8639,9.103,9.4014,9.7538,10.154,10.598,15.107,1
26.974,28.947,30.921,32.894,34.868,36.841,38.815,40.788,7.2395,7.3265,7.4694,7.6649,7.9091,8.1978,8.5264,8.8904,19.062,1
27.737,30.475,33.212,35.949,38.687,41.424,44.161,46.899,5.0924,5.1542,5.2557,5.3946,5.5681,5.773,6.0062,6.2645,22.385,1
28.077,31.154,34.231,37.308,40.385,43.462,46.539,49.616,4.2185,4.2636,4.3376,4.4393,4.5666,4.7176,4.89,5.0816,25.311,1
28.241,31.482,34.723,37.964,41.205,44.446,47.687,50.928,3.7282,3.7628,3.8198,3.8982,3.9967,4.114,4.2483,4.3983,27.873,1
28.348,31.697,35.045,38.393,41.742,45.09,48.439,51.787,3.4211,3.4489,3.4948,3.5581,3.6378,3.7329,3.8423,3.9647,30.33,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.573,26.147,26.72,27.293,27.866,28.44,29.013,29.586,4.3654,4.5903,4.9424,5.397,5.9304,6.5234,7.1611,7.8328,3.0739,1
26.745,28.491,30.236,31.981,33.727,35.472,37.217,38.963,0.00324,0.003344,0.0035104,0.003731,0.0039968,0.0042994,0.0046316,0.0049874,0.021106,1
26.951,28.902,30.854,32.805,34.756,36.707,38.658,40.61,1.9036,1.9323,1.9793,2.0433,2.1227,2.2159,2.3212,2.4371,9.2465,1
26.496,27.992,29.488,30.984,32.48,33.976,35.472,36.968,5.3311,5.3951,5.5002,5.6439,5.8235,6.0358,6.2774,6.5451,13.825,1
26.818,28.636,30.454,32.271,34.089,35.907,37.725,39.543,4.6674,4.7092,4.7781,4.8729,4.9921,5.1341,5.297,5.479,17.018,1
26.976,28.951,30.927,32.902,34.878,36.853,38.829,40.804,4.1356,4.1649,4.2133,4.2801,4.3645,4.4655,4.5819,4.7127,19.766,1
25.686,26.372,27.058,27.744,28.43,29.116,29.802,30.488,12.429,12.475,12.549,12.654,12.786,12.946,13.133,13.346,27.978,1
25.877,26.754,27.631,28.508,29.385,30.263,31.14,32.017,11.984,12.024,12.09,12.182,12.299,12.441,12.606,12.795,31.827,1
26.037,27.074,28.11,29.147,30.184,31.221,32.258,33.295,11.488,11.523,11.582,11.663,11.767,11.893,12.04,12.208,35.559,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.72,26.441,27.161,27.882,28.602,29.323,30.043,30.764,0.00017103,0.00019501,0.00022946,0.00027043,0.00031537,0.00036282,0.00041191,0.00046211,2.2771,1
24.789,24.579,24.368,24.157,23.946,23.736,23.525,23.314,0.00016405,0.00016931,0.00017774,0.00018891,0.00020237,0.00021769,0.00023451,0.00025252,185270000,1
25.025,25.05,25.074,25.099,25.124,25.149,25.173,25.198,0.00016401,0.00016916,0.00017742,0.00018837,0.00020158,0.00021663,0.00023317,0.00025091,2365300000,1
23.952,22.905,21.857,20.81,19.762,18.715,17.667,16.62,0.00016356,0.00016741,0.00017363,0.00018199,0.0001922,0.00020399,0.0002171,0.00023131,6257800000,1
24.489,23.978,23.467,22.956,22.446,21.935,21.424,20.913,0.00016348,0.0001671,0.00017296,0.00018086,0.00019052,0.00020171,0.00021418,0.00022772,11853000000,1
24.98,24.96,24.94,24.919,24.899,24.879,24.859,24.839,0.00016341,0.00016683,0.00017237,0.00017984,0.00018902,0.00019966,0.00021155,0.00022449,17135000000,1
25.412,25.824,26.236,26.648,27.06,27.472,27.884,28.295,0.00016335,0.00016658,0.00017184,0.00017894,0.00018767,0.00019782,0.00020919,0.00022157,21727000000,1
25.793,26.585,27.378,28.171,28.964,29.756,30.549,31.342,0.00016329,0.00016636,0.00017136,0.00017812,0.00018645,0.00019616,0.00020704,0.00021892,25701000000,1
26.151,27.302,28.453,29.603,30.754,31.905,33.056,34.207,0.00016324,0.00016616,0.00017093,0.00017738,0.00018535,0.00019464,0.00020508,0.0002165,29596000000,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.806,26.612,27.419,28.225,29.031,29.837,30.643,31.45,2.2798,2.4995,2.8281,3.2324,3.6877,4.1773,4.6904,5.2203,2.733,1
25.54,26.079,26.619,27.159,27.699,28.238,28.778,29.318,13.387,13.481,13.636,13.85,14.12,14.443,14.817,15.236,8.1746,1
25.848,26.695,27.543,28.391,29.238,30.086,30.934,31.781,14.194,14.275,14.41,14.596,14.833,15.117,15.445,15.816,12.584,1
26.229,27.458,28.686,29.915,31.144,32.373,33.601,34.83,13.558,13.633,13.758,13.932,14.151,14.415,14.721,15.066,16.883,1
26.818,28.636,30.454,32.271,34.089,35.907,37.725,39.543,11.467,11.538,11.656,11.819,12.025,12.272,12.557,12.879,21.01,1
28.369,31.738,35.106,38.475,41.844,45.213,48.582,51.95,5.3145,5.3632,5.4433,5.5536,5.6922,5.8571,6.0463,6.2575,24.655,1
28.703,32.407,36.11,39.813,43.517,47.22,50.923,54.627,4.1509,4.1859,4.2436,4.323,4.4231,4.5425,4.6796,4.833,27.447,1
28.851,32.701,36.552,40.402,44.253,48.103,51.954,55.805,3.6646,3.6922,3.7378,3.8006,3.8799,3.9748,4.084,4.2065,30.015,1
28.936,32.872,36.808,40.743,44.679,48.615,52.551,56.487,3.3433,3.3659,3.4033,3.4549,3.5201,3.5982,3.6884,3.7898,32.376,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.469,25.938,26.407,26.876,27.345,27.814,28.282,28.751,5.7193,5.9204,6.2411,6.6643,7.1717,7.7469,8.3759,9.0476,3.2749,1
26.572,28.144,29.716,31.288,32.86,34.432,36.004,37.576,1.6655,1.6978,1.7502,1.821,1.9083,2.0098,2.1235,2.2475,6.2588,1
25.73,26.46,27.19,27.92,28.65,29.38,30.11,30.839,8.6763,8.7627,8.905,9.1004,9.3456,9.6369,9.9701,10.341,11.09,1
25.706,26.412,27.119,27.825,28.531,29.237,29.943,30.65,11.25,11.332,11.468,11.655,11.891,12.173,12.499,12.864,15.647,1
25.771,26.542,27.313,28.085,28.856,29.627,30.398,31.169,12.273,12.352,12.482,12.662,12.89,13.163,13.478,13.833,19.96,1
25.855,26.71,27.565,28.419,29.274,30.129,30.984,31.839,12.847,12.924,13.05,13.225,13.447,13.713,14.02,14.367,24.225,1
25.948,26.895,27.843,28.791,29.739,30.686,31.634,32.582,13.181,13.256,13.379,13.55,13.767,14.027,14.329,14.669,28.458,1
26.043,27.086,28.128,29.171,30.214,31.257,32.299,33.342,13.427,13.5,13.621,13.789,14.001,14.257,14.553,14.888,32.697,1
26.145,27.291,28.436,29.582,30.727,31.873,33.018,34.164,13.51,13.582,13.701,13.866,14.076,14.327,14.619,14.949,36.882,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
24.483,23.965,23.448,22.931,22.413,21.896,21.379,20.862,0.000042693,0.000048679,0.000057281,0.000067507,0.000078727,0.000090571,0.00010283,0.00011536,2.1514,1
25.428,25.855,26.283,26.71,27.138,27.566,27.993,28.421,0.00004095,0.000042264,0.000044368,0.000047156,0.000050515,0.000054339,0.000058538,0.000063035,3061500000,1
23.835,22.669,21.504,20.339,19.173,18.008,16.843,15.677,0.000040717,0.000041355,0.000042397,0.000043814,0.000045571,0.00004763,0.000049955,0.00005251,69829000000,1
24.694,24.388,24.082,23.776,23.47,23.164,22.859,22.553,0.000040672,0.000041177,0.000042006,0.000043139,0.000044554,0.000046224,0.000048124,0.000050226,1.7057E+11,1
24.591,24.182,23.773,23.364,22.954,22.545,22.136,21.727,0.000040671,0.000041172,0.000041994,0.000043118,0.000044522,0.000046179,0.000048065,0.000050153,2.1694E+11,1
24.93,24.86,24.79,24.72,24.65,24.58,24.51,24.44,0.000040665,0.00004115,0.000041946,0.000043036,0.000044398,0.000046007,0.00004784,0.000049871,3.473E+11,1
25.243,25.487,25.73,25.974,26.217,26.461,26.704,26.948,0.00004066,0.00004113,0.000041902,0.000042959,0.000044281,0.000045845,0.000047628,0.000049605,4.6617E+11,1
25.545,26.089,26.634,27.179,27.724,28.268,28.813,29.358,0.000040655,0.000041111,0.00004186,0.000042887,0.000044171,0.000045693,0.000047427,0.000049353,5.8303E+11,1
25.822,26.644,27.465,28.287,29.109,29.931,30.753,31.575,0.000040651,0.000041093,0.000041821,0.000042818,0.000044068,0.000045548,0.000047238,0.000049116,6.8805E+11,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.103,25.205,25.308,25.41,25.513,25.615,25.718,25.82,0.000070053,0.000079874,0.000093988,0.00011077,0.00012918,0.00014861,0.00016872,0.00018928,2.0228,1
26.724,28.448,30.171,31.895,33.619,35.343,37.067,38.79,0.000067774,0.000071577,0.000077503,0.000085108,0.000093986,0.00010381,0.00011434,0.00012539,4184400000,1
27.018,29.037,31.055,33.073,35.091,37.11,39.128,41.146,0.000066906,0.000068231,0.000070383,0.000073291,0.000076869,0.000081027,0.000085681,0.000090755,4555000000,1
27.09,29.18,31.269,33.359,35.449,37.539,39.628,41.718,0.000066728,0.00006753,0.000068846,0.000070648,0.0000729,0.00007556,0.000078588,0.000081944,4662500000,1
